dataset,subject,method,accuracy,kappa,erd_C3_mu,erd_C3_beta,erd_C3_comp,erd_C4_mu,erd_C4_beta,erd_C4_comp
BNCI2014_004,1,no_adapt,0.7486111111111111,0.49722222222222223,2.896189087655759,-16.38647457164959,-6.745142741996915,13.561264707465837,2.18068205350199,7.870973380483915
BNCI2014_004,1,tent,0.5833333333333334,0.16666666666666663,2.896189087655759,-16.38647457164959,-6.745142741996915,13.561264707465837,2.18068205350199,7.870973380483915
BNCI2014_004,1,ek_tta,0.7097222222222223,0.4194444444444444,2.896189087655759,-16.38647457164959,-6.745142741996915,13.561264707465837,2.18068205350199,7.870973380483915
BNCI2014_004,1,ek_tent,0.7055555555555556,0.4111111111111111,2.896189087655759,-16.38647457164959,-6.745142741996915,13.561264707465837,2.18068205350199,7.870973380483915
BNCI2014_004,2,no_adapt,0.7132352941176471,0.42647058823529416,-9.27272523310658,-5.627438587612016,-7.450081910359297,-17.91727799050365,-12.285385602806242,-15.101331796654945
BNCI2014_004,2,tent,0.55,0.09999999999999998,-9.27272523310658,-5.627438587612016,-7.450081910359297,-17.91727799050365,-12.285385602806242,-15.101331796654945
BNCI2014_004,2,ek_tta,0.6294117647058823,0.2588235294117647,-9.27272523310658,-5.627438587612016,-7.450081910359297,-17.91727799050365,-12.285385602806242,-15.101331796654945
BNCI2014_004,2,ek_tent,0.625,0.25,-9.27272523310658,-5.627438587612016,-7.450081910359297,-17.91727799050365,-12.285385602806242,-15.101331796654945
BNCI2014_004,3,no_adapt,0.5944444444444444,0.18888888888888888,76.18856648479013,39.80211253879803,57.99533951179408,48.67805047263082,21.990114230838135,35.33408235173448
BNCI2014_004,3,tent,0.5194444444444445,0.03888888888888886,76.18856648479013,39.80211253879803,57.99533951179408,48.67805047263082,21.990114230838135,35.33408235173448
BNCI2014_004,3,ek_tta,0.6083333333333333,0.21666666666666667,76.18856648479013,39.80211253879803,57.99533951179408,48.67805047263082,21.990114230838135,35.33408235173448
BNCI2014_004,3,ek_tent,0.6069444444444444,0.2138888888888889,76.18856648479013,39.80211253879803,57.99533951179408,48.67805047263082,21.990114230838135,35.33408235173448
BNCI2014_004,4,no_adapt,0.7716216216216216,0.5432432432432432,47.119960771943916,-10.27814385237785,18.420908459783032,53.42955012994374,6.0405997571846255,29.735074943564182
BNCI2014_004,4,tent,0.6635135135135135,0.327027027027027,47.119960771943916,-10.27814385237785,18.420908459783032,53.42955012994374,6.0405997571846255,29.735074943564182
BNCI2014_004,4,ek_tta,0.8891891891891892,0.7783783783783784,47.119960771943916,-10.27814385237785,18.420908459783032,53.42955012994374,6.0405997571846255,29.735074943564182
BNCI2014_004,4,ek_tent,0.8864864864864865,0.772972972972973,47.119960771943916,-10.27814385237785,18.420908459783032,53.42955012994374,6.0405997571846255,29.735074943564182
BNCI2014_004,5,no_adapt,0.8148648648648649,0.6297297297297297,-29.53993630479903,-14.278162360407746,-21.90904933260339,-19.28605829527407,-12.061479213831396,-15.673768754552732
BNCI2014_004,5,tent,0.8148648648648649,0.6297297297297297,-29.53993630479903,-14.278162360407746,-21.90904933260339,-19.28605829527407,-12.061479213831396,-15.673768754552732
BNCI2014_004,5,ek_tta,0.8594594594594595,0.7189189189189189,-29.53993630479903,-14.278162360407746,-21.90904933260339,-19.28605829527407,-12.061479213831396,-15.673768754552732
BNCI2014_004,5,ek_tent,0.8581081081081081,0.7162162162162162,-29.53993630479903,-14.278162360407746,-21.90904933260339,-19.28605829527407,-12.061479213831396,-15.673768754552732
BNCI2014_004,6,no_adapt,0.8402777777777778,0.6805555555555556,-10.562798992477914,-16.117748736325552,-13.340273864401734,-19.009827938076704,-14.525156733927295,-16.767492336002004
BNCI2014_004,6,tent,0.5680555555555555,0.13611111111111107,-10.562798992477914,-16.117748736325552,-13.340273864401734,-19.009827938076704,-14.525156733927295,-16.767492336002004
BNCI2014_004,6,ek_tta,0.775,0.55,-10.562798992477914,-16.117748736325552,-13.340273864401734,-19.009827938076704,-14.525156733927295,-16.767492336002004
BNCI2014_004,6,ek_tent,0.7652777777777777,0.5305555555555556,-10.562798992477914,-16.117748736325552,-13.340273864401734,-19.009827938076704,-14.525156733927295,-16.767492336002004
BNCI2014_004,7,no_adapt,0.8625,0.725,39.08893340229633,7.334069700527117,23.211501551411722,38.482610570493826,8.13623770819945,23.30942413934664
BNCI2014_004,7,tent,0.8416666666666667,0.6833333333333333,39.08893340229633,7.334069700527117,23.211501551411722,38.482610570493826,8.13623770819945,23.30942413934664
BNCI2014_004,7,ek_tta,0.8611111111111112,0.7222222222222222,39.08893340229633,7.334069700527117,23.211501551411722,38.482610570493826,8.13623770819945,23.30942413934664
BNCI2014_004,7,ek_tent,0.8597222222222223,0.7194444444444444,39.08893340229633,7.334069700527117,23.211501551411722,38.482610570493826,8.13623770819945,23.30942413934664
BNCI2014_004,8,no_adapt,0.7460526315789474,0.4921052631578947,46.34767137762114,-11.817131606254799,17.26526988568317,217.2509286881404,14.800577781777093,116.02575323495874
BNCI2014_004,8,tent,0.7210526315789474,0.4421052631578948,46.34767137762114,-11.817131606254799,17.26526988568317,217.2509286881404,14.800577781777093,116.02575323495874
BNCI2014_004,8,ek_tta,0.8026315789473685,0.6052631578947368,46.34767137762114,-11.817131606254799,17.26526988568317,217.2509286881404,14.800577781777093,116.02575323495874
BNCI2014_004,8,ek_tent,0.8013157894736842,0.6026315789473684,46.34767137762114,-11.817131606254799,17.26526988568317,217.2509286881404,14.800577781777093,116.02575323495874
BNCI2014_004,9,no_adapt,0.7694444444444445,0.5388888888888889,24.33444194235598,-9.12115033642611,7.606645802964931,69.0803081536243,3.9376222799875995,36.50896521680596
BNCI2014_004,9,tent,0.6291666666666667,0.2583333333333333,24.33444194235598,-9.12115033642611,7.606645802964931,69.0803081536243,3.9376222799875995,36.50896521680596
BNCI2014_004,9,ek_tta,0.6916666666666667,0.3833333333333333,24.33444194235598,-9.12115033642611,7.606645802964931,69.0803081536243,3.9376222799875995,36.50896521680596
BNCI2014_004,9,ek_tent,0.6958333333333333,0.3916666666666667,24.33444194235598,-9.12115033642611,7.606645802964931,69.0803081536243,3.9376222799875995,36.50896521680596
